Region,Good,Material,value
IND,Household & Leisure & Sports,Others,0.082282813
JPN,Household & Leisure & Sports,Others,0.085987088
USA,Household & Leisure & Sports,Others,0.087004029
LAM,Household & Leisure & Sports,HDPE,0.111996249
OAS,Household & Leisure & Sports,HDPE,0.113975924
SSA,Household & Leisure & Sports,HDPE,0.107899782
EUR,Household & Leisure & Sports,HDPE,0.124635188
NEU,Household & Leisure & Sports,HDPE,0.115797999
MEA,Household & Leisure & Sports,HDPE,0.107044985
REF,Household & Leisure & Sports,HDPE,0.109013388
CAZ,Household & Leisure & Sports,HDPE,0.116727058
CHA,Household & Leisure & Sports,HDPE,0.116605164
IND,Household & Leisure & Sports,HDPE,0.116517444
JPN,Household & Leisure & Sports,HDPE,0.12012109
USA,Household & Leisure & Sports,HDPE,0.111307139
LAM,Household & Leisure & Sports,PET,0
OAS,Household & Leisure & Sports,PET,0
SSA,Household & Leisure & Sports,PET,0
EUR,Household & Leisure & Sports,PET,0
NEU,Household & Leisure & Sports,PET,0
MEA,Household & Leisure & Sports,PET,0
REF,Household & Leisure & Sports,PET,0
CAZ,Household & Leisure & Sports,PET,0
CHA,Household & Leisure & Sports,PET,0
IND,Household & Leisure & Sports,PET,0
JPN,Household & Leisure & Sports,PET,0
USA,Household & Leisure & Sports,PET,0
LAM,Household & Leisure & Sports,PP,0.353151489
OAS,Household & Leisure & Sports,PP,0.350739327
SSA,Household & Leisure & Sports,PP,0.347961132
EUR,Household & Leisure & Sports,PP,0.33078999
NEU,Household & Leisure & Sports,PP,0.334812978
MEA,Household & Leisure & Sports,PP,0.347567422
REF,Household & Leisure & Sports,PP,0.348488776
CAZ,Household & Leisure & Sports,PP,0.337208565
CHA,Household & Leisure & Sports,PP,0.351744779
IND,Household & Leisure & Sports,PP,0.359865176
JPN,Household & Leisure & Sports,PP,0.332259467
USA,Household & Leisure & Sports,PP,0.336650843
LAM,Household & Leisure & Sports,PS,0.10583196
